,    Order |  ,    Club |  ,    State |  ,    Competition |  ,    Expenditures |  ,    Arrivals |  ,    Income  |  ,    Departures |  ,    Balance |  ,    Season |  , Inflacion + Income |  , Inflacion + Expenditures |  , Inflacion + Balance |  
1580,84,SheffieldWednesday,England,Championship,15460000.0,27,1360000.0,30,-14100000.0,2015,1418739.7,16127732.18,-14708992.48
1581,84,CesenaPrimavera,Italy,PrimaveraB,12540000.0,36,2500000.0,33,-10040000.0,2014,2603541.61,13059364.72,-10455823.11
1582,84,SVWerderBremen,Germany,Bundesliga,10250000.0,14,13600000.0,13,3350000.0,2013,14283306.16,10764991.77,3518314.38
1583,84,WiganAthletic,England,PremierLeague,10540000.0,24,13250000.0,27,2720000.0,2012,14224289.56,11315019.77,2920005.1
1584,84,VfBStuttgart,Germany,Bundesliga,11100000.0,11,20600000.0,12,9500000.0,2011,22724095.26,12244536.77,10479558.49
1585,84,DinamoMoscow,Russia,PremierLiga,9200000.0,19,8550000.0,16,-650000.0,2010,9641057.58,10374003.48,-732945.9
1586,84,FCSchalke04,Germany,Bundesliga,8600000.0,26,4800000.0,10,-3800000.0,2009,5462228.59,9786492.9,-4324264.3
1587,84,ASNancyLorraine,France,Ligue1,10500000.0,18,15400000.0,16,4900000.0,2008,17814844.87,12146485.14,5668359.73
1588,84,CFRCluj,Romania,Liga1,11900000.0,30,1250000.0,21,-10650000.0,2007,1490913.17,14193493.34,-12702580.18
1589,84,ClubAtléticoBocaJuniors,Argentina,TorneoFinal,7650000.0,40,32240000.0,37,24590000.0,2006,39194679.96,9300226.48,29894453.48
1590,84,RealBetisBalompié,Spain,LaLiga,5500000.0,15,0.0,14,-5500000.0,2005,0.0,6838184.01,-6838184.01
1591,84,FeyenoordRotterdam,Netherlands,Eredivisie,3180000.0,45,10500000.0,31,7320000.0,2004,13362767.25,4047009.51,9315757.74
1592,84,ClubBruggeKV,Belgium,JupilerProLeague,2500000.0,13,0.0,10,-2500000.0,2003,0.0,3245902.26,-3245902.26
1593,84,WiganAthletic,England,SecondDivision(bis03/04),2330000.0,10,0.0,12,-2330000.0,2002,0.0,3095058.11,-3095058.11
1594,84,DerbyCounty,England,PremierLeague,4590000.0,14,17500000.0,12,12920000.0,2001,23733783.56,6225032.37,17522313.35
1595,84,DynamoKyiv,Ukraine,PremierLiga,4000000.0,12,40200000.0,12,36200000.0,2000,55918771.39,5564056.86,50354714.54
1596,85,DynamoKyiv,Ukraine,PremierLiga,23800000.0,20,7500000.0,20,-16300000.0,2018,7617054.86,24171454.07,-16554399.22
1597,85,Hannover96,Germany,Bundesliga,19000000.0,19,250000.0,15,-18750000.0,2017,257316.31,19556039.54,-19298723.23
1598,85,UdineseCalcio,Italy,SerieA,19000000.0,77,30220000.0,65,11220000.0,2016,31446441.26,19771091.46,11675349.8
1599,85,CelticFC,Scotland,Premiership,15100000.0,30,19180000.0,27,4070000.0,2015,20008402.54,15752183.44,4245787.19
1600,85,ElJaishSportsClub,Qatar,StarsLeague,12500000.0,13,0.0,9,-12500000.0,2014,0.0,13017708.06,-13017708.06
1601,85,KAAGent,Belgium,JupilerProLeague,10110000.0,40,5100000.0,33,-5010000.0,2013,5356239.81,10617957.74,-5261717.93
1602,85,BolognaFC1909,Italy,SerieA,10290000.0,49,17950000.0,41,7660000.0,2012,19269886.61,11046636.95,8223249.66
1603,85,FCLorient,France,Ligue1,11100000.0,24,16000000.0,23,4900000.0,2011,17649782.72,12244536.77,5405245.96
1604,85,ParisSaintGermain,France,Ligue1,9000000.0,13,7000000.0,11,-2000000.0,2010,7893263.52,10148481.67,-2255218.15
1605,85,LOSCLille,France,Ligue1,8600000.0,18,18750000.0,18,10150000.0,2009,21336830.44,9786492.9,11550337.54
1606,85,Bayer04Leverkusen,Germany,Bundesliga,10250000.0,20,4000000.0,15,-6250000.0,2008,4627232.43,11857283.11,-7230050.68
1607,85,StadeRennaisFC,France,Ligue1,11550000.0,20,24200000.0,19,12650000.0,2007,28864078.9,13776037.66,15088041.24
1608,85,Trabzonspor,Turkey,SüperLig,7000000.0,39,11840000.0,31,4840000.0,2006,14394076.02,8510011.16,5884064.86
1609,85,ZenitSt.Petersburg,Russia,PremierLiga,5450000.0,12,4600000.0,11,-850000.0,2005,5719208.44,6776018.7,-1056810.26
1610,85,RCDEspanyolBarcelona,Spain,LaLiga,3050000.0,18,190000.0,20,-2860000.0,2004,241802.45,3881565.72,-3639763.27
1611,85,Gaziantepspor,Turkey,SüperLig,2500000.0,23,0.0,24,-2500000.0,2003,0.0,3245902.26,-3245902.26
1612,85,PrestonNorthEnd,England,FirstDivision,2300000.0,23,2580000.0,20,275000.0,2002,3427145.88,3055207.57,365296.56
1613,85,BorussiaMönchengladbach,Germany,Bundesliga,4050000.0,8,0.0,3,-4050000.0,2001,0.0,5492675.62,-5492675.62
1614,85,DynamoKyiv,Portugal,LigaNOS,3900000.0,22,17050000.0,18,13150000.0,2000,23716792.35,5424955.43,18291836.91
1615,86,CFAmérica,Mexico,LigaMXClausura,22580000.0,29,20700000.0,23,-1880000.0,2018,21023071.4,22932413.15,-1909341.75
1616,86,HamburgerSV,Germany,Bundesliga,19000000.0,18,5550000.0,16,-13450000.0,2017,5712422.08,19556039.54,-13843617.46
1617,86,RCDEspanyolBarcelona,Spain,LaLiga,18400000.0,27,6000000.0,26,-12400000.0,2016,6243502.57,19146741.2,-12903238.64
