273,ScottishPremiership,2008,Scotland,90577.78,104781.11
274,JupilerProLeague,2008,Belgium,198031.25,229084.16
275,SerieB,2008,Italy,186379.61,215605.45
276,LaLiga2,2008,Spain,142572.82,164929.39
277,TorneoFinal,2008,Argentina,302076.37,349444.4
278,CampeonatoBrasileiroSérieA,2008,Brazil,118575.37,137168.95
279,AlkaSuperligaen,2008,Denmark,184268.29,213163.06
280,J1League,2008,Japan,74155.84,85784.08
281,2.Bundesliga,2008,Germany,120869.57,139822.89
282,1.HNL,2008,Croatia,182794.76,211458.46
283,Ekstraklasa,2008,Poland,27788.46,32145.92
284,Ligue2,2008,France,144971.26,167703.93
285,PremierLeague,2007,England,997966.1,1190304.64
286,LaLiga,2007,Spain,895292.4,1067842.58
287,SerieA,2007,Italy,516720.43,616308.23
288,Bundesliga,2007,Germany,644493.93,768707.59
289,Ligue1,2007,France,984615.38,1174380.83
290,Championship,2007,England,285734.27,340803.98
291,PremierLiga,2007,Russia,288686.44,344325.13
292,Eredivisie,2007,Netherlands,566754.1,675984.92
293,PremierLiga,2007,Ukraine,199233.23,237631.55
294,LigaNOS,2007,Portugal,378112.03,450985.77
295,Liga1Betano,2007,Romania,70935.83,84607.33
296,SüperLig,2007,Turkey,83739.13,99878.22
297,SuperLeague,2007,Greece,63605.26,75863.94
298,TorneoFinal,2007,Argentina,408077.8,486726.86
299,2.Bundesliga,2007,Germany,158842.11,189455.83
300,ScottishPremiership,2007,Scotland,200940.77,239668.19
301,SerieB,2007,Italy,132650.6,158216.42
302,JupilerProLeague,2007,Belgium,105468.75,125795.8
303,AlkaSuperligaen,2007,Denmark,195471.7,233145.06
304,CampeonatoBrasileiroSérieA,2007,Brazil,159231.56,189920.34
305,SuperLeague,2007,Switzerland,234161.49,279291.56
306,Eliteserien,2007,Norway,96312.85,114875.28
307,J1League,2007,Japan,26626.02,31757.66
308,Ligue2,2007,France,108951.61,129949.92
309,LaLiga2,2007,Spain,76986.3,91823.91
310,1.HNL,2007,Croatia,147971.53,176490.16
311,PremierLeague,2006,England,520478.17,632753.58
312,LaLiga,2006,Spain,404268.66,491475.83
313,SerieA,2006,Italy,429711.54,522407.14
314,Ligue1,2006,France,568017.0,690547.28
315,Bundesliga,2006,Germany,511650.94,622022.18
316,Championship,2006,England,223611.99,271848.64
317,PremierLiga,2006,Russia,289458.33,351899.09
318,SüperLig,2006,Turkey,83434.78,101432.99
319,Eredivisie,2006,Netherlands,274860.68,334152.49
320,JupilerProLeague,2006,Belgium,118170.73,143662.04
321,CampeonatoBrasileiroSérieA,2006,Brazil,241175.55,293200.94
322,ScottishPremiership,2006,Scotland,128271.03,155941.13
323,TorneoFinal,2006,Argentina,448025.75,544672.02
324,LigaNOS,2006,Portugal,115127.55,139962.39
325,Liga1Betano,2006,Romania,54090.91,65759.18
326,PremierLiga,2006,Ukraine,113238.87,137666.29
327,SerieB,2006,Italy,224914.93,273432.66
328,Eliteserien,2006,Norway,173615.82,211067.51
329,SuperLeague,2006,Greece,58270.44,70840.3
330,AlkaSuperligaen,2006,Denmark,116027.4,141056.35
331,2.Bundesliga,2006,Germany,78690.48,95665.26
332,TorneoInicial,2006,Argentina,131926.61,160385.27
333,SuperLeague,2006,Switzerland,130924.86,159167.43
334,KLeague1,2006,KoreaSouth,78854.17,95864.26
335,Bundesliga,2006,Austria,72971.01,88712.02
336,1.HNL,2006,Croatia,49022.56,59597.5
337,PremierLeague,2005,England,532077.63,661535.4
338,LaLiga,2005,Spain,679324.32,844608.13
339,SerieA,2005,Italy,275391.46,342395.9
340,Ligue1,2005,France,439388.89,546294.92
341,PremierLiga,2005,Russia,202644.63,251949.32
342,Bundesliga,2005,Germany,370281.12,460372.81
343,Championship,2005,England,174803.28,217334.0
344,SüperLig,2005,Turkey,52613.07,65414.15
345,Eredivisie,2005,Netherlands,252574.26,314027.14
346,LigaNOS,2005,Portugal,193380.28,240430.9
347,CampeonatoBrasileiroSérieA,2005,Brazil,214969.94,267273.46
348,PremierLiga,2005,Ukraine,47173.91,58651.62
349,ScottishPremiership,2005,Scotland,42415.46,52735.4
350,Bundesliga,2005,Austria,84642.86,105236.99
351,JupilerProLeague,2005,Belgium,94775.09,117834.45
352,TorneoFinal,2005,Argentina,150473.19,187084.24
353,SuperLeague,2005,Greece,10453.17,12996.49
354,Liga1Betano,2005,Romania,27083.33,33672.88
355,AlkaSuperligaen,2005,Denmark,236956.52,294609.51
356,Allsvenskan,2005,Sweden,92605.63,115137.16
357,J1League,2005,Japan,39090.91,48601.97
358,TorneoInicial,2005,Argentina,194655.17,242015.98
359,Ekstraklasa,2005,Poland,36877.08,45849.5
360,LeagueOne,2005,England,17434.87,21676.88
361,SerieB,2005,Italy,98264.01,122172.26
362,1.HNL,2005,Croatia,25546.56,31762.19
363,PremierLeague,2004,England,406733.78,517627.51
364,LaLiga,2004,Spain,331387.9,421738.99
365,SerieA,2004,Italy,570657.08,726243.6
366,Ligue1,2004,France,600340.31,764019.8
367,PremierLiga,2004,Russia,109094.83,138838.93
368,Bundesliga,2004,Germany,267234.04,340093.93
369,LigaNOS,2004,Portugal,360906.74,459305.97
370,PremierLiga,2004,Ukraine,26404.49,33603.53
371,SüperLig,2004,Turkey,55626.82,70793.17
372,CampeonatoBrasileiroSérieA,2004,Brazil,139768.34,177875.41
373,Eredivisie,2004,Netherlands,223375.39,284277.47
374,Championship,2004,England,148448.91,188922.68
375,ScottishPremiership,2004,Scotland,83615.02,106412.2
376,SerieB,2004,Italy,28472.47,36235.33
377,JupilerProLeague,2004,Belgium,82126.98,104518.45
378,SuperLeague,2004,Switzerland,60718.56,77273.15
379,SuperLeague,2004,Greece,33310.1,42391.92
380,Liga1Betano,2004,Romania,50555.56,64339.25
381,SerieC-GironeB,2004,Italy,3268.7,4159.89
382,Eliteserien,2004,Norway,101775.7,129524.29
383,Bundesliga,2004,Austria,25422.54,32353.85
384,2.Bundesliga,2004,Germany,41914.89,53342.76
385,AlkaSuperligaen,2004,Denmark,70662.25,89927.93
386,LeagueOne,2004,England,6279.07,7991.02
387,FortunaLiga,2004,CzechRepublic,70405.41,89601.05
388,PremierLeague,2003,England,358376.24,465301.7
389,SerieA,2003,Italy,377568.71,490220.45
390,LaLiga,2003,Spain,453932.58,589368.32
391,Ligue1,2003,France,398782.89,517764.12
392,Bundesliga,2003,Germany,94285.71,122416.89
393,PremierLiga,2003,Russia,57846.15,75105.18
394,PremierLiga,2003,Ukraine,1412.43,1833.84
395,LigaNOS,2003,Portugal,192716.05,250214.98
396,SüperLig,2003,Turkey,64577.66,83845.1
397,Eredivisie,2003,Netherlands,234189.72,304062.78
398,Championship,2003,England,184908.35,240077.77
399,SerieB,2003,Italy,45584.19,59184.73
400,J1League,2003,Japan,0.0,0.0
401,JupilerProLeague,2003,Belgium,72230.48,93781.24
402,SuperLeague,2003,Greece,13785.05,17897.97
403,FortunaLiga,2003,CzechRepublic,101693.12,132034.37
404,SuperLeague,2003,Switzerland,76333.33,99108.22
405,2.Bundesliga,2003,Germany,16062.99,20855.56
406,ScottishPremiership,2003,Scotland,90186.05,117094.04
407,LeagueOne,2003,English,16950.0,22007.22
408,LaLiga2,2003,Spain,12137.68,15759.09
409,Eliteserien,2003,Norway,23152.17,30059.88
410,Bundesliga,2003,Austria,6291.39,8168.5
411,Ekstraklasa,2003,Poland,15528.85,20162.05
412,SerieC-GironeB,2003,Italy,2181.3,2832.12
413,PremierLeague,2002,England,370818.71,492577.45
414,SerieA,2002,Italy,873469.88,1160274.69
415,LaLiga,2002,Spain,229650.66,305056.7
416,Bundesliga,2002,Germany,316839.38,420873.94
417,Ligue1,2002,France,326632.3,433882.38
418,SüperLig,2002,Turkey,42238.81,56107.97
419,Eredivisie,2002,Netherlands,133240.74,176990.49
420,PremierLiga,2002,Russia,42078.65,55895.22
421,SerieB,2002,Italy,110251.05,146452.1
422,LigaNOS,2002,Portugal,199512.2,265022.25
423,Championship,2002,England,180617.58,239923.56
424,JupilerProLeague,2002,Belgium,42070.31,55884.15
425,PremierLiga,2002,Ukraine,19531.25,25944.36
426,SuperLeague,2002,Greece,31700.0,42108.73
427,LeagueOne,2002,English,23144.65,30744.23
428,SuperLeague,2002,Switzerland,31250.0,41510.97
429,Bundesliga,2002,Austria,10454.55,13887.31
430,2.Bundesliga,2002,Germany,54641.35,72582.9
431,Eliteserien,2002,Norway,66891.89,88855.92
432,Ekstraklasa,2002,Poland,5898.62,7835.44
433,MajorLeagueSoccer,2002,UnitedStates,0.0,0.0
434,3.Liga,2002,Germany,3894.31,5173.01
435,LaLiga2,2002,Spain,0.0,0.0
436,SerieC-GironeA,2002,Italy,0.0,0.0
437,KLeague1,2002,KoreaSouth,126956.52,168642.84
438,SerieA,2001,Italy,1944059.95,2636565.6
439,PremierLeague,2001,England,782875.4,1061748.3
440,LaLiga,2001,Spain,607950.82,824512.75
441,Bundesliga,2001,Germany,525739.64,713016.63
442,Ligue1,2001,France,616888.89,836634.71
443,Championship,2001,England,243556.15,330314.8
444,Eredivisie,2001,Netherlands,386032.61,523543.68
445,SuperLeague,2001,Greece,155934.07,211480.31
446,SüperLig,2001,Turkey,135362.32,183580.57
447,JupilerProLeague,2001,Belgium,254956.14,345775.65
448,PremierLiga,2001,Russia,39067.36,52983.78
449,Bundesliga,2001,Austria,56423.36,76522.27
450,2.Bundesliga,2001,Germany,68253.97,92567.14
451,SuperLeague,2001,Switzerland,58333.33,79112.61
452,SerieC-GironeA,2001,Italy,4792.33,6499.44
453,PremierLiga,2001,Ukraine,9890.11,13413.13
454,Japan J2 League,2001,J2 League,0.0,0.0
